classificacao,produto,escala,mi,mi_planilha,qtd_entregas_2025,obs
gap_real,Topo,25k,2216-1-NE,2216-1-NE,1,MI ausente do acervo
gap_real,Topo,25k,2216-1-SE,2216-1-SE,1,MI ausente do acervo
gap_real,Topo,25k,2216-2-NE,2216-2-NE,1,MI ausente do acervo
gap_real,Topo,25k,2216-2-NO,2216-2-NO,1,MI ausente do acervo
gap_real,Topo,25k,2216-2-SE,2216-2-SE,1,MI ausente do acervo
gap_real,Topo,25k,2216-2-SO,2216-2-SO,1,MI ausente do acervo
gap_real,Topo,25k,2216-3-NE,2216-3-NE,1,MI ausente do acervo
gap_real,Topo,25k,2216-3-SE,2216-3-SE,1,MI ausente do acervo
gap_real,Topo,25k,2216-4-NE,2216-4-NE,1,MI ausente do acervo
gap_real,Topo,25k,2216-4-NO,2216-4-NO,1,MI ausente do acervo
gap_real,Topo,25k,2216-4-SO,2216-4-SO,1,MI ausente do acervo
gap_real,Topo,25k,2867-1-SO,2867-1/SO,1,MI ausente do acervo
gap_real,Topo,25k,2948-3-SE,2948-3-SE,1,MI ausente do acervo
gap_real,Topo,25k,2948-4-SE,2948-4-SE,1,MI ausente do acervo
gap_real,Topo,25k,2948-4-SO,2948-4-SO,1,MI ausente do acervo
gap_real,Topo,50k,2090-4,2090-4,1,MI ausente do acervo
gap_real,Topo,50k,2216-1,2216-1,1,MI ausente do acervo
gap_real,Topo,50k,2216-2,2216-2,1,MI ausente do acervo
gap_real,Topo,50k,2216-3,2216-3,1,MI ausente do acervo
gap_real,Topo,50k,2216-4,2216-4,1,MI ausente do acervo
gap_real,Topo,50k,2866-4,2866-4,9,MI ausente do acervo
gap_real,Topo,50k,2878-2,2878-2,6,MI ausente do acervo
gap_real,Topo,50k,2878-4,2878-4,5,MI ausente do acervo
gap_real,Topo,50k,2879-1,2879-1,6,MI ausente do acervo
gap_real,Topo,50k,2879-2,2879-2,6,MI ausente do acervo
gap_real,Topo,50k,2879-3,2879-3,5,MI ausente do acervo
gap_real,Topo,50k,2879-4,2879-4,5,MI ausente do acervo
gap_real,Topo,100k,2295,2295,1,MI ausente do acervo
gap_real,Topo,100k,299,299,1,MI suspeito (verificar digitacao)
provavel_gap_topo,Topo,25k,2964-4-NE,2964-4-NE,1,so existe como Orto/25k
provavel_gap_topo,Topo,25k,2981-3-NE,2981-3/NE,1,so existe como Orto/25k
provavel_gap_topo,Topo,50k,2867-3,2867-3,8,so existe como Orto/50k
provavel_gap_topo,Topo,50k,2867-4,2867-4,8,so existe como Orto/50k
provavel_gap_topo,Topo,50k,2891-2,2891-2,1,so existe como Orto/50k
